source,target,relation,weight,citation
MOTHERSON.NS,MARUTI.NS,wiring_harness_modules,0.9,"SAMIL AR FY24 customer disclosures; MSIL supplier lists — VERIFY"
MOTHERSON.NS,TMPV.NS,wiring_polymer_modules,0.6,"SAMIL AR FY24 segment/customer notes — VERIFY"
MOTHERSON.NS,M&M.NS,wiring_polymer_modules,0.6,"SAMIL AR FY24 segment/customer notes — VERIFY"
BOSCHLTD.NS,MARUTI.NS,powertrain_injection,0.7,"Bosch Ltd AR FY24 mobility segment; MSIL vendor disclosures — VERIFY"
BOSCHLTD.NS,TMPV.NS,powertrain_injection,0.7,"Bosch Ltd AR FY24 mobility segment — VERIFY"
BOSCHLTD.NS,M&M.NS,powertrain_injection,0.7,"Bosch Ltd AR FY24 mobility segment — VERIFY"
BOSCHLTD.NS,ASHOKLEY.NS,cv_powertrain_systems,0.6,"Bosch Ltd AR FY24 CV business notes — VERIFY"
BOSCHLTD.NS,BAJAJ-AUTO.NS,two_wheeler_systems,0.5,"Bosch Ltd AR FY24 2W business notes — VERIFY"
BOSCHLTD.NS,TVSMOTOR.NS,two_wheeler_systems,0.4,"Bosch Ltd AR FY24 2W business notes — VERIFY"
BOSCHLTD.NS,HEROMOTOCO.NS,two_wheeler_systems,0.4,"Bosch Ltd AR FY24 2W business notes — VERIFY"
BOSCHLTD.NS,EICHERMOT.NS,powertrain_systems,0.4,"Bosch Ltd AR FY24; VECV/RE supplier notes — VERIFY"
BHARATFORG.NS,TMPV.NS,forgings_cv_powertrain,0.7,"Bharat Forge AR FY24 domestic CV exposure — VERIFY"
BHARATFORG.NS,ASHOKLEY.NS,forgings_cv_powertrain,0.7,"Bharat Forge AR FY24 domestic CV exposure — VERIFY"
BHARATFORG.NS,M&M.NS,forgings_pv_tractor,0.5,"Bharat Forge AR FY24 PV/farm segment — VERIFY"
BHARATFORG.NS,EICHERMOT.NS,forgings_cv,0.4,"Bharat Forge AR FY24; VECV supplier notes — VERIFY"
SONACOMS.NS,M&M.NS,ev_driveline_differential,0.6,"Sona BLW DRHP/AR FY24 customer notes — VERIFY"
SONACOMS.NS,MARUTI.NS,driveline_gears,0.5,"Sona BLW DRHP/AR FY24 customer notes — VERIFY"
SONACOMS.NS,TMPV.NS,driveline_jlr_ev,0.4,"Sona BLW AR FY24 (JLR/global OEM exposure) — VERIFY"
UNOMINDA.NS,HEROMOTOCO.NS,switches_lighting_2w,0.7,"Uno Minda AR FY24 2W customer concentration — VERIFY"
UNOMINDA.NS,BAJAJ-AUTO.NS,switches_lighting_2w,0.6,"Uno Minda AR FY24 2W customer concentration — VERIFY"
UNOMINDA.NS,TVSMOTOR.NS,switches_lighting_2w,0.6,"Uno Minda AR FY24 2W customer concentration — VERIFY"
UNOMINDA.NS,MARUTI.NS,switches_lighting_alloys_4w,0.5,"Uno Minda AR FY24 4W segment — VERIFY"
EXIDEIND.NS,MARUTI.NS,oem_batteries,0.6,"Exide AR FY24 automotive OEM segment — VERIFY"
EXIDEIND.NS,HEROMOTOCO.NS,oem_batteries_2w,0.6,"Exide AR FY24 automotive OEM segment — VERIFY"
EXIDEIND.NS,BAJAJ-AUTO.NS,oem_batteries_2w,0.5,"Exide AR FY24 automotive OEM segment — VERIFY"
EXIDEIND.NS,TMPV.NS,oem_batteries,0.5,"Exide AR FY24 automotive OEM segment — VERIFY"
EXIDEIND.NS,ASHOKLEY.NS,oem_batteries_cv,0.5,"Exide AR FY24 automotive OEM segment — VERIFY"
EXIDEIND.NS,EICHERMOT.NS,oem_batteries,0.4,"Exide AR FY24 automotive OEM segment — VERIFY"
APOLLOTYRE.NS,TMPV.NS,oem_tyres,0.5,"Apollo Tyres AR FY24 OEM channel notes — VERIFY"
APOLLOTYRE.NS,ASHOKLEY.NS,oem_tyres_cv,0.5,"Apollo Tyres AR FY24 OEM channel notes — VERIFY"
APOLLOTYRE.NS,MARUTI.NS,oem_tyres_pv,0.4,"Apollo Tyres AR FY24 OEM channel notes — VERIFY"
APOLLOTYRE.NS,M&M.NS,oem_tyres_pv,0.4,"Apollo Tyres AR FY24 OEM channel notes — VERIFY"
